episode_id,air_date
482,2012-12-21
483,2013-01-04
484,2013-01-11
485,2013-01-25
486,2013-02-08
487,2013-02-15
488,2013-02-22
489,2013-03-01
490,2013-03-22
491,2013-03-29
492,2013-04-12
493,2013-04-19
494,2013-05-03
495,2013-05-17
496,2013-05-31
497,2013-06-14
498,2013-06-21
499,2013-06-28
500,2013-07-12
501,2013-07-26
502,2013-08-09
503,2013-08-16
504,2013-09-06
505,2013-09-20
506,2013-10-04
507,2013-10-11
508,2013-10-18
509,2013-10-25
510,2013-11-01
511,2013-11-08
512,2013-11-22
513,2013-12-13
514,2013-12-20
515,2014-01-10
516,2014-01-17
517,2014-01-31
518,2014-02-14
519,2014-03-07
520,2014-03-14
521,2014-03-28
522,2014-04-11
523,2014-04-25
524,2014-05-02
525,2014-05-09
526,2014-05-23
527,2014-06-13
528,2014-06-20
529,2014-06-27
530,2014-07-18
531,2014-07-25
532,2014-08-15
533,2014-09-05
534,2014-09-12
535,2014-09-19
536,2014-09-26
537,2014-10-03
538,2014-10-17
539,2014-11-07
540,2014-11-21
541,2014-12-05
542,2014-12-12
543,2014-12-26
544,2015-01-09
545,2015-01-23
546,2015-01-30
547,2015-02-06
548,2015-02-13
549,2015-02-27
550,2015-03-13
551,2015-03-20
552,2015-03-27
553,2015-04-03
554,2015-04-10
555,2015-04-24
556,2015-05-01
557,2015-05-15
558,2015-05-29
559,2015-06-26
560,2015-07-03
561,2015-07-17
562,2015-07-31
563,2015-08-07
564,2015-08-14
565,2015-08-28
566,2015-09-11
567,2015-09-18
568,2015-10-02
569,2015-10-09
570,2015-10-16
571,2015-10-30
572,2015-11-06
573,2015-11-27
574,2015-12-11
575,2015-12-18
576,2015-12-25
577,2016-01-15
578,2016-01-29
579,2016-02-12
580,2016-02-19
581,2016-02-26
582,2016-03-11
583,2016-03-25
584,2016-04-08
585,2016-04-22
586,2016-05-06
587,2016-05-27
588,2016-06-03
589,2016-06-17
590,2016-06-24
591,2016-07-15
592,2016-07-29
593,2016-08-05
594,2016-08-12
595,2016-08-26
596,2016-09-09
597,2016-09-23
598,2016-10-07
599,2016-10-14
600,2016-10-21
601,2016-11-04
602,2016-11-11
603,2016-12-02
604,2016-12-09
605,2016-12-16
606,2016-12-23
607,2017-01-06
608,2017-01-20
609,2017-02-03
610,2017-02-17
611,2017-03-03
612,2017-03-17
613,2017-03-31
614,2017-04-14
615,2017-04-28
616,2017-05-05
617,2017-05-19
618,2017-06-09
619,2017-06-30
620,2017-07-14
621,2017-07-21
622,2017-08-04
623,2017-08-18
624,2017-09-01
625,2017-09-08
